"id","date","age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y"
9001,"2022-10-10",52,housemaid,married,basic.4y,unknown,no,no,telephone,jun,thu,92,2,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9002,"2022-10-10",39,admin.,married,high.school,no,yes,no,telephone,jun,thu,337,2,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9003,"2022-10-10",47,blue-collar,married,basic.9y,no,yes,no,telephone,jun,thu,955,4,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9004,"2022-10-10",29,services,single,high.school,no,yes,no,telephone,jun,thu,1018,3,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,yes
9005,"2022-10-10",46,management,married,basic.6y,unknown,no,no,telephone,jun,thu,90,2,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9006,"2022-10-10",34,services,single,high.school,no,no,no,telephone,jun,thu,729,2,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9007,"2022-10-10",35,technician,single,high.school,no,yes,no,telephone,jun,thu,159,2,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9008,"2022-10-10",30,technician,divorced,professional.course,no,yes,no,telephone,jun,thu,330,3,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9009,"2022-10-10",31,entrepreneur,married,university.degree,no,yes,no,telephone,jun,thu,130,2,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9010,"2022-10-10",37,blue-collar,married,basic.9y,no,unknown,unknown,telephone,jun,thu,94,4,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9011,"2022-10-10",40,admin.,married,high.school,no,no,no,telephone,jun,thu,314,2,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9012,"2022-10-10",47,blue-collar,married,basic.4y,unknown,yes,no,telephone,jun,thu,74,5,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9013,"2022-10-10",43,admin.,married,professional.course,no,yes,no,telephone,jun,thu,193,2,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9014,"2022-10-10",30,blue-collar,married,basic.9y,no,no,no,telephone,jun,thu,53,29,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9015,"2022-10-10",41,services,married,high.school,no,no,no,telephone,jun,thu,231,2,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9016,"2022-10-10",46,admin.,divorced,university.degree,no,no,no,telephone,jun,thu,353,2,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9017,"2022-10-10",32,technician,married,professional.course,no,no,no,telephone,jun,thu,805,2,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9018,"2022-10-10",47,entrepreneur,married,professional.course,unknown,unknown,unknown,telephone,jun,thu,19,3,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9019,"2022-10-10",32,services,single,basic.6y,no,unknown,unknown,telephone,jun,thu,131,3,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9020,"2022-10-10",37,entrepreneur,married,basic.9y,no,yes,yes,telephone,jun,thu,102,2,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9021,"2022-10-10",27,blue-collar,single,basic.9y,no,no,yes,telephone,jun,thu,869,2,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9022,"2022-10-10",39,admin.,married,university.degree,no,yes,no,telephone,jun,thu,65,3,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9023,"2022-10-10",56,technician,married,professional.course,unknown,yes,no,telephone,jun,thu,150,2,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9024,"2022-10-10",39,management,divorced,university.degree,unknown,no,no,telephone,jun,thu,91,2,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9025,"2022-10-10",35,blue-collar,married,basic.6y,unknown,no,no,telephone,jun,thu,144,7,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9026,"2022-10-10",36,management,divorced,professional.course,no,no,no,telephone,jun,thu,115,2,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9027,"2022-10-10",49,technician,married,university.degree,no,yes,yes,telephone,jun,thu,460,3,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9028,"2022-10-10",40,entrepreneur,married,basic.9y,no,yes,no,telephone,jun,thu,561,3,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9029,"2022-10-10",34,blue-collar,divorced,professional.course,no,no,no,telephone,jun,thu,884,4,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,yes
9030,"2022-10-10",51,unemployed,married,high.school,no,no,no,telephone,jun,thu,93,3,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9031,"2022-10-10",38,entrepreneur,married,university.degree,no,no,no,telephone,jun,thu,989,3,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9032,"2022-10-10",37,admin.,married,basic.9y,no,yes,no,telephone,jun,thu,209,3,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9033,"2022-10-10",51,admin.,married,university.degree,no,no,no,telephone,jun,thu,295,3,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9034,"2022-10-10",34,admin.,single,basic.9y,unknown,yes,no,telephone,jun,thu,319,6,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9035,"2022-10-10",47,admin.,married,unknown,unknown,yes,yes,telephone,jun,thu,323,3,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9036,"2022-10-10",38,management,married,high.school,unknown,no,yes,telephone,jun,thu,70,2,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9037,"2022-10-10",43,services,married,basic.9y,no,no,no,telephone,jun,thu,110,17,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9038,"2022-10-10",46,blue-collar,married,basic.9y,unknown,no,no,telephone,jun,thu,162,2,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9039,"2022-10-10",38,admin.,single,high.school,unknown,yes,no,telephone,jun,thu,67,2,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9040,"2022-10-10",25,services,single,professional.course,no,yes,no,telephone,jun,thu,18,3,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9041,"2022-10-10",37,technician,married,professional.course,no,no,no,telephone,jun,thu,221,3,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9042,"2022-10-10",46,admin.,divorced,university.degree,no,no,no,telephone,jun,thu,138,2,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9043,"2022-10-10",52,blue-collar,married,unknown,unknown,yes,no,telephone,jun,thu,60,3,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9044,"2022-10-10",34,admin.,single,university.degree,unknown,no,no,telephone,jun,thu,17,16,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9045,"2022-10-10",37,technician,married,professional.course,no,no,no,telephone,jun,thu,214,5,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9046,"2022-10-10",40,admin.,married,university.degree,unknown,no,no,telephone,jun,thu,650,2,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9047,"2022-10-10",27,blue-collar,married,basic.4y,no,yes,no,telephone,jun,thu,75,3,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9048,"2022-10-10",43,technician,married,basic.9y,unknown,no,no,telephone,jun,thu,246,2,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9049,"2022-10-10",29,blue-collar,married,high.school,no,no,no,telephone,jun,thu,718,13,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9050,"2022-10-10",45,self-employed,married,university.degree,unknown,no,no,telephone,jun,thu,108,2,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9051,"2022-10-10",36,services,married,high.school,no,yes,no,telephone,jun,thu,394,2,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9052,"2022-10-10",30,management,single,university.degree,no,no,no,telephone,jun,thu,27,7,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9053,"2022-10-10",48,admin.,divorced,high.school,no,yes,yes,telephone,jun,thu,1011,2,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9054,"2022-10-10",41,admin.,married,high.school,no,yes,yes,telephone,jun,thu,204,4,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9055,"2022-10-10",42,admin.,married,university.degree,unknown,yes,no,telephone,jun,thu,160,2,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9056,"2022-10-10",37,blue-collar,married,basic.4y,no,yes,no,telephone,jun,thu,222,2,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9057,"2022-10-10",48,blue-collar,married,basic.4y,no,no,no,telephone,jun,thu,240,2,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9058,"2022-10-10",38,unemployed,married,basic.4y,unknown,no,no,telephone,jun,thu,54,26,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9059,"2022-10-10",41,technician,married,university.degree,no,unknown,unknown,telephone,jun,thu,131,10,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9060,"2022-10-10",35,technician,married,professional.course,no,yes,no,telephone,jun,thu,18,31,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9061,"2022-10-10",39,blue-collar,married,basic.6y,no,no,no,telephone,jun,thu,31,5,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9062,"2022-10-10",45,services,divorced,unknown,no,no,no,telephone,jun,thu,474,2,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9063,"2022-10-10",23,blue-collar,married,high.school,no,no,yes,telephone,jun,thu,173,3,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9064,"2022-10-10",42,unemployed,married,basic.6y,unknown,no,no,telephone,jun,thu,87,2,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9065,"2022-10-10",31,services,married,high.school,unknown,yes,no,telephone,jun,thu,67,12,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
9066,"2022-10-10",43,blue-collar,married,basic.9y,no,no,no,telephone,jun,thu,246,2,999,0,nonexistent,1.4,"94 465",-41.8,"4 866",5228,no
